RBD;NOM_COM_RBD;lon;lat
1;ARICA;-70,2946920;-18,4871859
3;ARICA;-70,3027753;-18,4869579
4;ARICA;-70,3079199;-18,4741696
5;ARICA;-70,3134525;-18,4768037
7;ARICA;-70,2879497;-18,4759464
8;ARICA;-70,3173691;-18,4826722
9;ARICA;-70,3027753;-18,4869579
10;ARICA;-70,3089205;-18,4742235
11;ARICA;-70,3115916;-18,4911091
12;ARICA;-70,2939799;-18,4921091
13;ARICA;-70,2843640;-18,4810937
14;ARICA;-70,2898409;-18,4812571
15;ARICA;-70,3010027;-18,4721469
16;ARICA;-70,3088676;-18,4749112
17;ARICA;-70,2911681;-18,4674828
18;ARICA;-70,2873814;-18,4767764
19;ARICA;-70,2919000;-18,4746942
20;ARICA;-70,2950403;-18,4799516
22;ARICA;-70,2908709;-18,4477318
25;ARICA;-70,2931087;-18,4398155
26;ARICA;-70,3039305;-18,4782974
27;ARICA;-70,3078845;-18,4832545
28;ARICA;-70,2944621;-18,4849429
29;ARICA;-70,2826530;-18,4776808
31;ARICA;-70,2941695;-18,4829196
32;ARICA;-70,1784405;-18,5193336
33;ARICA;-70,2253391;-18,4168696
35;ARICA;-70,3185446;-18,4794324
36;ARICA;-70,2840039;-18,4966002
38;ARICA;-70,2908709;-18,4477318
39;ARICA;-69,9654236;-18,5777823
41;ARICA;-70,1362490;-18,8281505
42;ARICA;-70,2826530;-18,4776808
45;ARICA;-70,3141224;-18,4829848
50;ARICA;-70,2670111;-18,4937911
52;ARICA;-70,3031501;-18,4685725
56;ARICA;-70,3043940;-18,4705948
59;ARICA;-70,2715083;-18,4958311
60;ARICA;-70,2803393;-18,4922200
67;ARICA;-70,3148742;-18,4815407
69;ARICA;-70,2913367;-18,4640657
70;CAMARONES;-106,4169425;23,2368179
72;CAMARONES;-69,7438561;-18,8331340
73;CAMARONES;-68,7810767;-11,0343921
74;CAMARONES;-106,4169425;23,2368179
75;CAMARONES;-69,7441721;-18,8329163
76;CAMARONES;-70,1362490;-18,8281505
78;PUTRE;-69,5618747;-18,1959229
79;PUTRE;-69,5618747;-18,1959229
81;PUTRE;-69,5618747;-18,1959229
82;PUTRE;-69,6024292;-18,2633526
