RBD;NOM_RBD
1;LICEO POLITECNICO ARICA
2;PARVULARIO LAS ESPIGUITAS
3;ESC. PEDRO VICENTE GUTIERREZ TORRES
4;LICEO OCTAVIO PALMA PEREZ
5;JOVINA NARANJO FERNANDEZ
7;L. POLI. ANTONIO VARAS DE LA BARRA
8;COLEGIO INTEGRADO EDUARDO FREI MONTALVA
9;ESCUELA REPUBLICA DE ISRAEL
10;ESCUELA REPUBLICA DE FRANCIA
11;ESC. GRAL. PEDRO LAGOS MARCHANT
12;ESCUELA GRAL JOSE MIGUEL CARRERA
13;ESCUELA MANUEL RODRIGUEZ ERDOYZA
14;ESCUELA ROMULO J. PENA MATURANA
15;LICEO ARTISTICO DR. JUAN NOE CREVANI
16;ESCUELA REGIMIENTO RANCAGUA
17;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ
18;ESC. COMTE. JUAN JOSE SAN MARTIN
19;ESC. HUMBERTO VALENZUELA GARCIA
20;ESCUELA TUCAPEL
22;ESCUELA GABRIELA MISTRAL
25;COLEGIO CENTENARIO DE ARICA
26;ESCUELA REPUBLICA DE ARGENTINA
27;ESCUELA ESMERALDA
28;ESCUELA RICARDO SILVA ARRIAGADA
29;ESCUELA AMERICA
30;ESCUELA DR. RICARDO OLEA GUERRA
31;ESCUELA DARIO SALAS DIAZ
32;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.
33;ESCUELA CARLOS CONDELL DE LA HAZA
35;ESCUELA GRAL. MANUEL BAQUEDANO
36;ESCUELA IGNACIO CARRERA PINTO
38;ESCUELA ESPAÑA
39;ESCUELA PAMPA ALGODONAL
41;ESCUELA VALLE DE CHACA
42;ESCUELA MOLINOS LLUTA
43;JARDIN INFANTIL CEPILLIN
45;COLEGIO ITALIANO SANTA ANA
49;JARDIN INFANTIL PADRE LUIS GALLARDO
50;COLEGIO ADVENTISTA DE ARICA
52;LICEO DOMINGO SANTA MARIA
55;JARDIN INFANTIL MONTESSORI GARDEN
56;COLEGIO SAN MARCOS DE ARICA
60;COLEGIO ALEMAN DE ARICA
66;JARDIN INFANTIL PLUTO
67;ABRAHAM LINCOLN SCHOOL
70;ESCUELA VALLE DE ESQUINA
72;LICEO VALLE DE CODPA
73;ESCUELA VALLE DE COBIJA
74;ESCUELA VALLE DE CAMARONES
75;ESCUELA VALLE DE GUANACAGUA
76;ESCUELA VALLE DE CUYA
78;LICEO GRANADEROS
79;ESCUELA EL MARQUEZ
81;ESCUELA PAYACHATAS
82;ESCUELA SAN FRANCISCO DE ASIS
83;ESCUELA COTA COTANI
84;ESCUELA LOS ALAMOS
86;ESCUELA SAN SANTIAGO DE BELEN
87;ESCUELA ANCOLACANE
88;ESCUELA ALCERRECA
89;ESCUELA HUMAPALCA
90;ESCUELA INTERNADO VISVIRI
91;ESCUELA COSAPILLA
92;ESCUELA CHISLLUMA
93;ESCUELA CHUJLLUTA
94;ESCUELA GUACOYO
95;ESCUELA COLPITAS
97;INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY
102;ESC.EDUC.ESPECIAL FLOR DEL INCA
103;ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA
105;CENTRO DE CAPACITACION LABORAL
106;INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL
107;LICEO LIBERT. GRAL.BERNARDO O´HIGGINS
108;LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN
109;COLEGIO DEPORTIVO TEC. PROF. ELENA DUVAUCHELLE CABEZON
110;LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.
111;ESCUELA GABRIELA MISTRAL
112;ESCUELA EDUARDO LLANOS
113;ESCUELA ALMIRANTE PATRICIO LYNCH
114;ESCUELA PLACIDO VILLARROEL
116;COLEGIO REPUBLICA DE CROACIA
117;ESCUELA PAULA JARAQUEMADA ALQUIZAR
119;ESCUELA CENTENARIO
122;ESCUELA THILDA PORTILLO OLIVARES
123;COLEGIO ESPANA
124;LICEO LUIS CRUZ MARTINEZ
125;ESCUELA PROFESOR MANUEL CASTRO RAMOS
126;COLEGIO REPUBLICA DE ITALIA
127;LICEO MARIA AUXILIADORA
129;LICEO SUPERIOR GABRIELA MISTRAL
130;COLEGIO NORTH COLLEGE
131;COLEGIO ESCASCE
132;COLEGIO BAJO MOLLE
133;COLEGIO ADVENTISTA DE IQUIQUE
134;LICEO ATENEA
144;COLEGIO IQUIQUE YOUNG SCHOOL
154;ESCUELA BASICA FRONTERIZA
156;ESCUELA PISAGUA
158;ESCUELA CHIAPA
159;ESCUELA JAINA
160;ESCUELA PACHICA
161;LICEO DE HUARA
162;ESCUELA SIBAYA
165;ESCUELA CHUSMIZA
167;ESCUELA CAMINA
168;ESCUELA CUISAMA
169;ESCUELA QUISTAGAMA
170;ESCUELA NAMA
171;ESCUELA APAMILCA
172;ESCUELA CHAPIQUILTA
173;ESCUELA MOQUELLA
174;ESCUELA FRANCIA
175;ESCUELA YALA YALA
177;ESCUELA BASICA CARIQUIMA
178;LICEO TECNICO PROFESIONAL COLCHANE
179;ESCUELA BASICA MAUQUE
185;ESCUELA BASICA PISIGA-CHOQUE
186;ESCUELA BASICA ENQUELGA
187;ESCUELA VERTIENTE DEL SABER
188;ESC. MATILLA DE NUEVA EXTREMADURA
191;LIC. ALCDE.SERGIO GONZALEZ GUTIERREZ
192;ESCUELA BASICA MAMINA
193;ESCUELA BASICA POZO ALMONTE
195;ESCUELA BASICA LA TIRANA
196;ESCUELA BASICA HUATACONDO
198;ESCUELA BASICA LA HUAYCA
199;LICEO DOMINGO LATRILLE LASTAUNOU
200;LICEO POLITECNICO DIEGO PORTALES P.
201;ESCUELA CARLOS CONDELL DE LA HAZA
203;ESCUELA PABLO NERUDA
204;ESCUELA L.GRAL.BERNARDO O´HIGGINS R.
205;ESCUELA ARTURO PRAT CHACON
206;ESCUELA ESTADOS UNIDOS DE NORTEAMERICA
207;ESC. ESPECIAL PEDRO AGUIRRE CERDA
208;COLEGIO SAGRADA FAMILIA
210;ESCUELA ARTURO PEREZ CANTO
211;LICEO H.C. T.P. MARIA ELENA
214;ESCUELA IGNACIO CARRERA PINTO
217;LICEO LUIS CRUZ MARTINEZ
218;LICEO FRANCISCO DE AGUIRRE
219;LICEO POLITECNICO CESAREO AGUIRRE G.
220;LICEO MINERO AMÉRICA
222;CENTRO EDUC.INTEGRAL DE ADULTOS C.E.I.A
223;ESCUELA CLAUDIO ARRAU
224;ESCUELA GRECIA
225;ESCUELA REPUBLICA DE BOLIVIA
226;ESCUELA BASICA EMILIO SOTOMAYOR
